feature_idx,description,top_modalities,top_orientations,top_structures,mean_activation,combined_rank,interp_score,true_concept_rank,is_successful,distractor_features,distractor_concepts,ranking_output,parse_success,train_activation_mean,val_activation_mean
55,Coronal CT of the rib cage,ct,y,"age, costal_cartilages, gender, liver, lung_middle_lobe_right",0.0377471499145031,79.0,0.1094925843384678,1,True,"[6006, 6666, 4222, 2623]","['Sagittal CT of the lumbar spine and spinal canal in an elderly patient', 'Coronal CT of the pelvis and proximal femur', 'Coronal CT of the rib cage and paraspinal muscles', 'Coronal CT of the thorax and mediastinum in an elderly patient']","A, E, B, D, C",True,0.044106625020504,0.040686823427677155
1442,Coronal MRI of the pelvis and lower abdomen in a female patient,mri,"z, y","age, aorta, liver, stomach, autochthon_left",0.02650607079267502,79.0,0.0444662428416049,3,False,"[3569, 8153, 6343, 6969]","['Axial MRI of the abdominal aorta and surrounding structures in an elderly patient.', 'CT of the pelvis in a female patient', 'CT of the rib cage', 'Coronal CT of the spine and spinal canal']","C, A, E, D, B",True,0.04099034518003464,0.039452843368053436
601,Axial CT of the bony pelvis and surrounding structures in male patients.,ct,z,"age, colon, gender, gluteus_maximus_left, gluteus_maximus_right",0.022026075422763823,83.0,0.2207723910957566,2,True,"[3525, 3063, 5961, 340]","['CT of the thoracic spine and vertebral bodies', 'CT of the vertebral column', 'Coronal CT of the chest and upper abdomen in an elderly patient', 'Coronal CT of the thoracic spine and ribs']","B, C, E, A, D",True,0.026128418743610382,0.03051353618502617
1926,MRI of the abdominal vasculature and retroperitoneum,mri,"y, z, x","age, gender, intervertebral_discs, vertebrae, lung_left",0.0253416046500206,84.5,0.0453561540884886,1,True,"[8058, 787, 1674, 5914]","['Coronal CT of the rib cage and paraspinal muscles', 'Coronal CT of the pelvis in a male patient', 'Coronal CT of the rib cage and paraspinal muscles', 'CT or MRI of the abdominal aorta and surrounding structures in an elderly patient.']","A, E, D, B, C",True,0.03873492777347565,0.03369774669408798
1995,CT of the skull and brain,ct,"y, z","age, gender, pathology, brain, skull",0.015858181565999985,87.5,0.0843566229170236,1,True,"[5009, 7658, 7837, 511]","['Coronal CT or MRI of the thoracolumbar spine and paraspinal muscles in an adult patient.', 'CT of the thoracic spine and spinal canal in a male patient', 'CT of the thorax and mediastinum in a male patient', 'Coronal CT of the posterior thorax and lumbar spine in a male patient']","D, C, A, B, E",True,0.03387632220983505,0.02928444743156433
59,Sagittal CT of the thoracic spine and spinal canal in an elderly male patient,ct,x,"age, aorta, brachiocephalic_vein_left, costal_cartilages, gender",0.0428904689848423,92.0,0.0838450056321017,3,False,"[6477, 1808, 2471, 6141]","['Coronal MRI of the paraspinal muscles and spinal canal', 'CT of the thorax and mediastinum', 'CT of the thoracic spine and ribs', 'Axial CT of the thoracoabdominal region including the spine in a middle-aged male patient']","C, A, E, B, D",True,0.04839814826846123,0.04692412540316582
477,Axial CT of the bony pelvis and proximal femur,ct,z,"age, colon, gender, gluteus_maximus_left, gluteus_maximus_right",0.03247046321630478,94.5,0.098429280978906,1,True,"[2095, 2001, 4019, 5008]","['CT of the rib cage', 'CT of the brain and skull', 'Coronal CT of the abdomen and pelvis in a male patient', 'Coronal CT or MRI of the rib cage and associated structures.']","A, E, D, C, B",True,0.047134459018707275,0.04394180327653885
2025,Coronal MRI of the bony pelvis and surrounding structures in an elderly patient,mri,"z, y","age, femur_left, gender, colon, femur_right",0.034564973413944246,94.5,0.0524682975318513,1,True,"[1337, 1121, 267, 4532]","['Coronal CT of the rib cage and thoracic spine', 'Coronal CT of the chest and rib cage in a male patient', 'Coronal CT of the bony pelvis and lumbar spine', 'Coronal CT of the thorax and upper abdomen in a male patient.']","D, C, E, B, A",True,0.04406742379069328,0.04435267299413681
92,CT of the rib cage and associated structures in female patients,ct,"z, y","age, aorta, esophagus, gender, lung_lower_lobe_left",0.03275441601872444,97.5,0.0422700323807956,2,True,"[343, 3632, 3447, 4694]","['CT of the vertebrae', 'CT of the thoracic spine and spinal canal', 'Axial CT of the chest including the mediastinum and rib cage.', 'Sagittal CT or Coronal MRI of the abdominal vasculature and paraspinal muscles in a female patient.']","D, B, E, C, A",True,0.04788985848426819,0.04114238917827606
308,Coronal MRI of the bony pelvis and sacrum,mri,"y, x","age, gender, autochthon_right, colon, sacrum",0.049343173205852506,100.5,0.0455761643806446,1,True,"[7588, 7091, 6193, 532]","['Coronal CT or MRI of the thorax and upper abdomen in an elderly patient', 'CT of the rib cage', 'CT of the rib cage', 'Axial CT of the bony pelvis in a female patient']","A, D, B, E, C",True,0.06245838850736618,0.05676905810832977
1213,Axial CT of the thorax and mediastinum,ct,z,"age, aorta, autochthon_left, autochthon_right, esophagus",0.019588857144117355,101.5,0.1380864556086599,1,True,"[4568, 2725, 1509, 7146]","['CT of the rib cage', 'Axial CT of the rib cage and shoulder girdle', 'Sagittal CT of the cervical spine and paraspinal muscles in an elderly female patient', 'Coronal CT of the thoracic spine and ribs']","C, D, E, A, B",True,0.02549527958035469,0.02550739422440529
3118,Axial MRI of the abdominal aorta and surrounding structures,mri,"z, y","age, gender, iliopsoas_left, liver, spinal_cord",0.027552832663059235,106.5,0.0390695480747635,1,True,"[6574, 7678, 3244, 4628]","['CT of the pelvis in a female patient', 'Axial CT of the abdominal vasculature and retroperitoneum', 'Coronal CT of the posterior thorax and lumbar spine', 'CT of the thorax and mediastinum']","D, B, E, A, C",True,0.03650668263435364,0.03727823495864868
876,MRI of the paraspinal muscles and spinal canal,mri,"y, z","age, gender, iliopsoas_left, iliopsoas_right, intervertebral_discs",0.028126654773950578,122.0,0.0374178538675441,1,True,"[7674, 1135, 7872, 1207]","['Coronal CT of the thorax and mediastinum', 'CT of the abdomen and pelvis in an elderly patient', 'CT of the rib cage and associated structures', 'Coronal CT of the rib cage and associated structures']","A, D, C, E, B",True,0.03647327795624733,0.031084060668945312
1541,CT of the thorax and rib cage,ct,"y, z, x","age, gender, pathology, liver, lung_lower_lobe_left",0.020812453329563142,126.0,0.0381194439719069,1,True,"[5514, 6016, 1703, 1551]","['Sagittal CT or MRI of the pelvis including the hip and sacrum.', 'Coronal MRI of the pelvis and lower abdomen in an elderly patient', 'Sagittal CT of the right rib cage', 'Coronal CT of the rib cage in a male patient']","E, C, D, B, A",True,0.03051554411649704,0.027517210692167282
505,MRI of the abdominal vasculature and retroperitoneal structures,mri,"z, y","age, gender, heart, humerus_right, lung_left",0.039594144374132154,130.5,0.0354040022093942,1,True,"[4015, 2294, 1338, 65]","['CT of the rib cage and spinal canal', 'CT of the rib cage and associated structures', 'Coronal MRI of the pelvis and spinal canal', 'CT of the thorax and mediastinum']","A, C, E, D, B",True,0.05247891694307327,0.051773883402347565
155,Axial MRI of the abdominal aorta and surrounding structures in middle-aged to elderly male patients.,mri,"z, y, x","age, gender, clavicula_left, clavicula_right, intervertebral_discs",0.03043491244316101,132.5,0.0330289719770392,1,True,"[5574, 5023, 8061, 1142]","['Coronal CT or MRI of the pelvis in a male patient', 'CT of the rib cage', 'Axial CT of the thorax and mediastinum', 'Axial CT of the thorax and mediastinum']","D, C, E, A, B",True,0.05524972081184387,0.05036160349845886
235,Coronal CT of the rib cage and paraspinal muscles in a male patient.,ct,y,"age, gender, lung_lower_lobe_left, pathology, rib_left_10",0.043936561048030856,133.0,0.0476031890533057,4,False,"[4312, 7103, 4154, 4723]","['Coronal CT of the rib cage and associated structures.', 'Coronal CT of the rib cage and thoracic spine', 'CT of the bony pelvis and proximal femur in an elderly female patient', 'CT of the rib cage and paraspinal muscles']","A, B, C, E, D",True,0.05508142709732056,0.04990212619304657
3840,Coronal MRI of the pelvis and hip region in a male patient,mri,"y, z","age, liver, aorta, inferior_vena_cava, intervertebral_discs",0.020237144082784653,135.5,0.0441514673892222,1,True,"[1381, 7290, 2197, 2151]","['CT of the thoracic spine and paraspinal muscles', 'Coronal CT of the thorax and rib cage', 'CT of the rib cage and thoracic spine', 'Coronal CT of the thorax and mediastinum']","A, B, C, D, E",True,0.0321321040391922,0.024661775678396225
961,Coronal CT of the thorax including ribs and vertebral bodies,ct,z,"age, aorta, autochthon_left, autochthon_right, esophagus",0.034526880085468295,141.5,0.062228079911673,4,False,"[3944, 5937, 1425, 6183]","['CT of the thorax and mediastinum', 'Sagittal CT of the cervical spine and skull', 'CT of the rib cage', 'Coronal CT of the thoracic spine and ribs']","D, C, E, A, B",True,0.04031062871217728,0.03997909277677536
267,Coronal CT of the bony pelvis and lumbar spine,ct,y,"age, gender, lung_lower_lobe_right, pathology, rib_left_10",0.02713129445910454,150.5,0.041233805865074,1,True,"[1225, 1059, 6969, 309]","['Coronal CT of the bony pelvis in a female patient', 'CT of the paraspinal muscles', 'Coronal CT of the spine and spinal canal', 'Ribs in CT scans']","D, A, E, B, C",True,0.034291982650756836,0.032043565064668655
456,Coronal CT of the thorax including ribs and vertebral column,ct,y,"age, autochthon_left, autochthon_right, gender, lung_lower_lobe_left",0.03585907965898514,151.0,0.054195322118477,1,True,"[7934, 7784, 1995, 6553]","['CT of the paraspinal muscles', 'Coronal CT or MRI of the thorax including ribs and vertebral bodies.', 'CT of the skull and brain', 'CT of the rib cage']","D, C, A, B, E",True,0.05570342391729355,0.047594912350177765
1080,Axial MRI of the paraspinal muscles and spinal canal in a middle-aged male patient.,"mri, ct","y, z","age, gender, autochthon_left, femur_left, gluteus_maximus_left",0.026903926581144332,151.5,0.0476490888657851,1,True,"[3915, 898, 7086, 5698]","['Coronal CT of the rib cage and paraspinal muscles', 'Axial CT of the rib cage', 'CT of the bony pelvis and proximal femur', 'Sagittal CT of the thoracic and lumbar spine and spinal canal in a male patient.']","B, A, E, C, D",True,0.043393202126026154,0.04145030677318573
123,"CT or MRI of the chest including the mediastinum, lungs, and ribs.","ct, mri","z, y","age, aorta, gender, autochthon_left, autochthon_right",0.04098682552576065,160.0,0.0370605248909042,1,True,"[696, 659, 3435, 1652]","['Axial MRI of the abdominal aorta and inferior vena cava in an elderly patient', 'CT of the thoracic spine and ribs', 'Sagittal CT of the thoracic spine and paraspinal muscles in a male patient.', 'CT of the thoracic spine and paraspinal muscles']","E, A, B, C, D",True,0.05059126019477844,0.04682432860136032
1236,Axial CT of the thorax and mediastinum in a male patient,ct,z,"age, gender, pathology, autochthon_left, autochthon_right",0.02943158447742462,160.5,0.0656310637257866,1,True,"[5278, 6036, 3564, 5834]","['CT or MRI of the rib cage and associated structures.', 'Axial MRI of the abdomen and retroperitoneum in an elderly patient', 'Axial CT or MRI of the pelvis in an adult patient', 'CT of the ribs and associated structures']","D, B, C, E, A",True,0.04803898185491562,0.04480336606502533
5847,"Axial MRI of the abdominal vasculature, liver, lungs, and spinal canal in middle-aged to elderly patients.","mri, ct","z, y","age, gender, hip_left, hip_right, autochthon_left",0.02612345516681671,163.0,0.0559488436068306,1,True,"[1288, 3262, 397, 6758]","['Sagittal CT of the thoracic spine and spinal canal in a male patient', 'Coronal CT of the abdomen and pelvis including the aorta, liver, kidneys, and vertebral column.', 'Coronal CT of the abdomen and pelvis including the iliopsoas muscles', 'CT of the lumbar spine and spinal canal']","B, A, C, D, E",True,0.04445236176252365,0.03397351875901222
120,Sagittal CT of the thoracic and lumbar spine and spinal canal,ct,"y, x","age, gender, pathology, spinal_cord, aorta",0.040163855999708176,166.0,0.034073211082762,1,True,"[5175, 7541, 4983, 2539]","['CT of the rib cage', 'CT or MRI of the thoracic spine and paraspinal muscles.', 'CT of the abdomen and retroperitoneum in an elderly female patient', 'Sagittal CT or MRI of the thoracic spine and associated structures.']","A, B, C, D, E",True,0.05266198515892029,0.05036233738064766
507,Coronal CT of the thorax including ribs and vertebral bodies,ct,"y, x","age, gender, liver, lung_lower_lobe_left, lung_upper_lobe_left",0.03352925106883049,168.5,0.073735593813995,1,True,"[8133, 1499, 1628, 6182]","['CT of the thorax and mediastinum', 'CT of the paraspinal muscles', 'Axial CT of the thorax and mediastinum', 'Axial CT of the abdomen and paraspinal muscles']","D, C, B, E, A",True,0.049777206033468246,0.04462483897805214
1844,MRI of the abdominal vasculature and paraspinal muscles,"mri, ct","y, z","age, gender, colon, femur_left, femur_right",0.040221604704856875,171.5,0.0280145353439028,1,True,"[2510, 7013, 2180, 1503]","['Coronal CT of the thoracic spine and paraspinal muscles', 'Coronal CT of the bony pelvis and paraspinal muscles', 'CT or MRI of the abdominal aorta and surrounding structures in elderly female patients.', 'Sagittal CT of the rib cage']","C, E, A, D, B",True,0.05720449239015579,0.05412553995847702
40,CT of the lumbar spine and spinal canal,ct,"x, y","age, gender, pathology, spinal_cord, aorta",0.0468558669090271,175.5,0.0296403322985066,3,False,"[54, 3576, 3990, 1757]","['CT of the lumbar spine and spinal canal', 'Coronal CT of the abdomen and pelvis in a female patient', 'Coronal CT of the rib cage and thoracic spine', 'CT of the bony pelvis and surrounding structures']","B, C, E, D, A",True,0.057074256241321564,0.06016028672456741
6148,CT of the brain and skull,"ct, mri",z,"age, gender, pathology, aorta, autochthon_left",0.018223214894533157,175.5,0.0510719612760184,4,False,"[1959, 4061, 1275, 1490]","['Axial MRI of the abdomen and spinal canal in middle-aged patients', 'CT of the rib cage', 'Coronal CT of the thorax and rib cage', 'Coronal CT or MRI of the bony pelvis and proximal femur.']","E, B, D, C, A",True,0.02404201403260231,0.022939570248126984
241,Axial CT of the thorax and abdomen in a middle-aged male patient,ct,"z, x","age, costal_cartilages, gender, liver, lung_lower_lobe_right",0.02684098109602928,177.5,0.134184725839679,1,True,"[5866, 6159, 1963, 3699]","['Sagittal CT of the abdominal vasculature and retroperitoneum', 'CT of the vertebral column and spinal canal', 'Coronal CT of the rib cage', 'CT of the thorax and mediastinum']","E, A, D, C, B",True,0.032502416521310806,0.034054581075906754
1358,CT of the thorax and mediastinum,ct,"z, y","age, gender, pathology, aorta, autochthon_left",0.022558634728193284,179.0,0.0751255859843443,2,True,"[602, 775, 7177, 1312]","['CT of the rib cage and scapula', 'CT of the thoracic spine and spinal canal', 'Coronal MRI of the paraspinal muscles', 'CT of the thorax and mediastinum']","A, E, C, D, B",True,0.029787443578243256,0.0262141153216362
190,Sagittal CT of the thoracic spine and spinal canal in a male patient,ct,x,"age, aorta, brachiocephalic_vein_left, esophagus, gender",0.03874480500817299,179.0,0.0528930415423645,1,True,"[3615, 4985, 3620, 3621]","['CT of the rib cage', 'Axial CT of the retroperitoneum and paraspinal muscles in an elderly male patient', 'CT of the ribs and vertebrae', 'Axial CT of the head in an elderly male patient']","C, A, D, B, E",True,0.06676164269447327,0.05602486431598663
737,Coronal CT of the thorax including ribs and vertebral bodies,ct,y,"age, gender, lung_lower_lobe_left, lung_lower_lobe_right, pathology",0.03991929665207863,184.5,0.0788828353490925,1,True,"[6016, 382, 4795, 5832]","['Coronal MRI of the pelvis and lower abdomen in an elderly patient', 'Coronal CT of the rib cage in a male patient', 'Axial CT or MRI of the abdomen in a middle-aged male patient', 'Coronal CT of the thorax and mediastinum']","E, A, C, D, B",True,0.05870148539543152,0.05067512392997742
381,CT of the skull,ct,"z, x","age, gender, pathology, skull, brain",0.038291940838098525,190.0,0.0536769672811495,1,True,"[6064, 7677, 5490, 4362]","['Coronal CT of the abdomen and pelvis in an adult patient', 'CT of the rib cage', 'MRI of the pelvis and gluteal muscles', 'Coronal CT of the bony pelvis and lumbar spine in a female patient.']","A, C, E, D, B",True,0.05732286721467972,0.050567056983709335
67,CT of the rib cage and mediastinum,ct,"z, x","age, autochthon_right, costal_cartilages, gender, pathology",0.03459110260009766,194.5,0.0543244479947463,2,True,"[1485, 968, 3330, 6273]","['CT of the rib cage', 'Coronal CT of the thoracic spine and ribs', 'Coronal CT of the thorax including ribs and lungs', 'Coronal CT of the thoracolumbar spine and paraspinal muscles in an elderly patient']","B, C, E, D, A",True,0.05361298471689224,0.05056171119213104
1445,MRI of the abdominal vasculature and retroperitoneum,mri,"y, x","age, gender, intervertebral_discs, vertebrae, colon",0.028944046050310136,196.0,0.0293680383413086,2,True,"[8036, 6333, 3979, 6071]","['Coronal CT of the vertebral column and paraspinal muscles', 'CT of the rib cage', 'CT of the rib cage', 'CT or MRI of the paraspinal muscles and vertebrae']","C, D, A, E, B",True,0.034596942365169525,0.03231950104236603
4467,CT of the thorax and mediastinum including ribs and scapulae,"ct, mri",z,"age, autochthon_left, autochthon_right, gender, spinal_cord",0.026673377305269242,197.0,0.0319151174072498,1,True,"[8085, 2484, 7584, 7541]","['CT of the rib cage and associated structures', 'Axial CT of the skull in an elderly patient', 'CT of the rib cage', 'CT or MRI of the thoracic spine and paraspinal muscles.']","C, B, E, D, A",True,0.03298603743314743,0.035722218453884125
1710,Coronal MRI of the abdomen and pelvis in an adult patient,mri,"y, x, z","age, gender, colon, intervertebral_discs, vertebrae",0.04332909807562828,198.5,0.0322928921588022,1,True,"[3385, 4593, 535, 2065]","['CT of the vertebral column', 'CT of the thoracic spine and associated structures', 'CT of the abdominal vasculature and surrounding organs', 'Coronal CT of the rib cage and thoracic spine in a male patient']","E, C, A, D, B",True,0.055327437818050385,0.05113933980464935
1271,CT of the rib cage and associated structures,ct,"z, y","age, gender, pathology, clavicula_left, esophagus",0.03232519328594208,199.5,0.0348909729250723,1,True,"[4020, 7083, 7731, 2188]","['CT of the rib cage and paraspinal muscles', 'CT of the thoracic spine and vertebral bodies', 'CT of the thoracic spine and mediastinum in an elderly female patient', 'CT or MRI of the abdominal aorta and surrounding structures.']","C, D, A, E, B",True,0.04923183098435402,0.039036113768815994
83,CT of the thorax and rib cage,ct,"y, x","age, gender, heart, liver, lung_lower_lobe_right",0.03462091907858848,199.5,0.0286122320893663,4,False,"[7347, 5733, 4960, 4381]","['CT of the rib cage', 'Coronal CT of the rib cage', 'Axial CT of the chest and upper abdomen in an elderly patient', 'Coronal CT of the rib cage and thoracic spine']","D, C, B, E, A",True,0.04313988983631134,0.04104681685566902
476,Axial MRI of the abdominal vasculature and spinal canal,mri,"z, y, x","age, gender, autochthon_right, vertebrae, autochthon_left",0.03719117790460587,201.5,0.0379034849256316,1,True,"[51, 1067, 3949, 6794]","['Axial CT of the abdomen and retroperitoneum including the ribs and spine.', 'CT of the thoracic spine and ribs', 'Coronal CT of the thoracic spine and ribs', 'Sagittal CT or MRI of the thoracic spine and spinal canal.']","A, D, C, E, B",True,0.05317242443561554,0.04246612265706062
1469,CT of the skull and brain,ct,"x, z","age, gender, pathology, brain, skull",0.02997063621878624,203.5,0.0264444997542924,4,False,"[6403, 3292, 5457, 1590]","['Coronal CT of the chest and mediastinum in an elderly patient', 'CT of the rib cage', 'CT of the paraspinal muscles and vertebrae', 'Coronal CT of the thorax including ribs and vertebral bodies']","B, D, C, E, A",True,0.04629229009151459,0.03938174992799759
1817,Coronal CT of the thorax including ribs and vertebral bodies,ct,y,"age, aorta, gender, liver, lung_lower_lobe_left",0.027853000909090042,207.0,0.0368931491646348,1,True,"[3267, 3638, 4492, 2092]","['Coronal CT or MRI of the abdomen and pelvis in an adult patient', 'Coronal CT of the thoracic spine and paraspinal muscles in an elderly male patient', 'Coronal CT or MRI of the thorax and mediastinum', 'Coronal CT of the skull and brain']","C, B, A, E, D",True,0.04099961370229721,0.032627519220113754
0,Coronal CT of the thorax and upper abdomen,ct,"y, x","age, gender, pathology, aorta, esophagus",0.028129047900438308,208.0,0.0296940279025194,3,False,"[3122, 1433, 1815, 994]","['Axial CT or MRI of the chest including the mediastinum and lungs.', 'Coronal CT/MRI of the pelvis and hip flexors in a male patient.', 'CT of the pelvis in a female patient', 'Coronal CT of the thorax and rib cage']","B, C, D, A, E",True,0.036799460649490356,0.031825222074985504
901,Axial MRI of the abdomen and retroperitoneum in an elderly patient,mri,z,"age, colon, gender, hip_left, gluteus_maximus_left",0.02767159715294838,211.0,0.0293293478436345,1,True,"[2509, 1345, 3490, 815]","['CT of the rib cage', 'CT of the chest including the mediastinum and ribs', 'CT of the rib cage', 'Coronal CT or MRI of the upper abdomen including the liver and gallbladder.']","A, B, D, C, E",True,0.04874012991786003,0.04023560509085655
1418,CT of the brain and skull,"ct, mri","z, y","age, gender, brain, pathology, skull",0.014218522422015666,211.0,0.0496224895610954,1,True,"[5100, 3291, 5373, 3595]","['Axial CT or MRI of the vertebral column in an elderly patient', 'Coronal CT of the thoracic spine and rib cage in a male patient', 'MRI of the abdominal vasculature, kidneys, liver, lungs, and spinal canal', 'CT of the cervical spine and spinal canal']","C, B, E, A, D",True,0.02740774303674698,0.02271849662065506
303,CT of the thoracic spine and spinal canal,ct,"y, x","age, gender, pathology, aorta, autochthon_right",0.04118717312812805,212.0,0.04173650195833,2,True,"[6196, 7338, 7893, 2634]","['Coronal CT of the thorax and mediastinum', 'CT or MRI of the rib cage and associated structures.', 'Coronal CT of the rib cage and associated structures in middle-aged patients.', 'CT of the thoracic spine and ribs']","C, B, E, D, A",True,0.054273948073387146,0.05218546837568283
1950,Coronal MRI of the abdomen and pelvis in an elderly patient,mri,"y, x, z","age, gender, colon, heart, hip_left",0.027364424616098403,212.0,0.02657912444651,1,True,"[6264, 7249, 3902, 6108]","['Coronal CT or MRI of the rib cage and associated structures in an adult patient.', 'Coronal CT of the liver in a female patient', 'CT of the rib cage', 'CT of the bony pelvis and proximal femur in an elderly patient']","A, C, D, B, E",True,0.04293876513838768,0.033612895756959915
1619,CT of the thorax and rib cage,ct,"y, x, z","age, gender, lung_lower_lobe_right, lung_upper_lobe_right, pathology",0.03263146877288818,218.0,0.0387501108467956,1,True,"[5987, 2181, 1147, 4340]","['CT of the abdomen and pelvis in a female patient', 'CT of the spine and paraspinal muscles in an elderly male patient', 'Coronal MRI of the abdomen and pelvis in a male patient', 'Coronal CT of the thorax and mediastinum']","C, A, B, E, D",True,0.04874792695045471,0.04391799867153168
1608,Axial CT of the abdomen and pelvis in an elderly patient,ct,"z, y","age, gender, pathology, spinal_cord, colon",0.030515538156032564,219.0,0.0249363968179226,4,False,"[6076, 3495, 5635, 4374]","['CT of the thoracic spine and paraspinal muscles in an elderly male patient', 'Sagittal CT or MRI of the thoracic spine and spinal canal', 'CT of the thoracic spine and mediastinum', 'Axial CT of the thorax and mediastinum']","D, B, A, E, C",True,0.04077932983636856,0.03953525424003601
18,Axial MRI of the male thoracolumbar spine and spinal canal,mri,"z, y","age, autochthon_left, autochthon_right, spinal_cord, vertebrae",0.023781975358724596,221.0,0.027286018233057,1,True,"[4984, 5596, 2436, 54]","['CT of the rib cage and thoracic spine', 'Axial CT of the thorax and mediastinum', 'CT of the thorax and mediastinum', 'CT of the lumbar spine and spinal canal']","D, C, B, A, E",True,0.03988240286707878,0.04053649306297302
247,Coronal CT of the thorax and rib cage,ct,y,"age, aorta, gender, liver, lung_lower_lobe_left",0.03440957069396973,222.0,0.0262504575615099,3,False,"[3930, 2212, 5205, 5092]","['CT of the thoracic spine and paraspinal muscles in a male patient', 'Sagittal CT or MRI of the spine and spinal canal in an elderly patient.', 'Coronal CT of the thoracic spine and rib cage in a male patient', 'Coronal CT of the rib cage and thoracic spine']","B, D, E, A, C",True,0.04961329326033592,0.04180527850985527
1169,CT of the rib cage,ct,"y, x","age, gender, pathology, costal_cartilages, heart",0.03890388235449791,222.5,0.0258643321801151,1,True,"[190, 4908, 5186, 3523]","['Sagittal CT of the thoracic spine and spinal canal in a male patient', 'Coronal CT or MRI of the retroperitoneum including kidneys and vertebral bodies.', 'Coronal CT of the rib cage and thoracic spine', 'Sagittal CT of the thoracic spine and spinal canal']","C, A, E, B, D",True,0.04978170245885849,0.05009187385439873
